ROUTE,REFPT,ENDREFPT,RUNLENGTH_FROM,RUNLENGTH_TO,SEG_LENGTH,CURVE_UPDATEYR,PRICURVE,PRICURVECLASS,SECCURVE,SECCURVECLASS,OBJECTID
001A,0,0.011,0,0.011,0.011,"2,016",-1,A,,,1
001A,0.011,0.031,0.011,0.03,0.019,"2,016",106,F,,,2
001A,0.031,0.121,0.03,0.122,0.092,"2,016",-1,A,,,3
001A,0.121,0.379,0.122,0.36,0.238,"2,016","-1,286",B,,,4
001A,0.379,0.502,0.36,0.488,0.128,"2,016",-1,A,,,5
001A,0.502,0.617,0.488,0.608,0.12,"2,016",630,D,,,6
001A,0.617,0.744,0.608,0.74,0.132,"2,016",-1,A,,,7
001A,0.744,0.869,0.74,0.871,0.131,"2,016",696,C,,,8
001A,0.869,0.921,0.871,0.925,0.054,"2,016",-1,A,,,9
001A,0.921,1.037,0.925,1.044,0.119,"2,016",-631,D,,,10
001A,1.037,1.065,1.044,1.072,0.028,"2,016",-1,A,,,11
001A,1.065,1.176,1.072,1.179,0.107,"2,016",565,D,,,12
001A,1.176,1.205,1.179,1.208,0.029,"2,016",-1,A,,,13
001A,1.205,1.324,1.208,1.327,0.119,"2,016",-631,D,,,14
001A,1.324,1.375,1.327,1.372,0.045,"2,016",-1,A,,,15
001A,1.375,1.53,1.372,1.503,0.131,"2,016",695,C,,,16
001A,1.53,1.606,1.503,1.606,0.103,"2,016",-1,A,,,17
001A,1.606,1.802,1.606,1.8,0.194,"2,016","1,022",C,,,18
001A,1.802,1.85,1.8,1.85,0.05,"2,016",-1,A,,,19
001A,1.85,1.978,1.85,2.001,0.151,"2,016",-805,C,,,20
001A,1.978,2.106,2.001,2.116,0.115,"2,016",-1,A,,,21
001A,2.106,2.259,2.116,2.248,0.132,"2,016",695,C,,,22
001A,2.259,2.442,2.248,2.449,0.201,"2,016",-1,A,,,23
001A,2.442,2.595,2.449,2.618,0.169,"2,016",891,C,,,24
001A,2.595,2.995,2.618,2.984,0.366,"2,016",-1,A,,,25
001A,2.995,3.126,2.984,3.125,0.141,"2,016",739,C,,,26
001A,3.126,3.203,3.125,3.208,0.083,"2,016",-1,A,,,27
001A,3.203,3.388,3.208,3.408,0.2,"2,016","-1,067",B,,,28
001A,3.388,3.597,3.408,3.635,0.227,"2,016",-1,A,,,29
001A,3.597,4.019,3.635,4.01,0.375,"2,016","1,954",A,,,30
001A,4.019,5.989,4.01,5.973,1.963,"2,016",-1,A,,,31
001A,5.989,6.172,5.973,6.163,0.19,"2,016","1,000",C,,,32
001A,6.172,6.219,6.163,6.212,0.049,"2,016",-1,A,,,33
001A,6.219,6.63,6.212,6.617,0.405,"2,016","-2,158",A,,,34
001A,6.63,6.796,6.617,6.774,0.157,"2,016",-1,A,,,35
001A,6.796,6.934,6.774,6.91,0.136,"2,016",718,C,,,36
001A,6.934,8.319000000000001,6.91,8.284000000000001,1.374,"2,016",-1,A,,,37
001A,8.319000000000001,8.432,8.284000000000001,8.398,0.114,"2,016",-610,D,,,38
001A,8.432,8.582000000000001,8.398,8.555,0.157,"2,016",-1,A,,,39
001A,8.582000000000001,9.003,8.555,9.026999999999999,0.472,"2,016","2,476",A,,,40
001A,9.003,9.304,9.026999999999999,9.271000000000001,0.244,"2,016",-1,A,,,41
001A,9.304,9.390000000000001,9.271000000000001,9.349,0.078,"2,016",413,D,,,42
001A,9.390000000000001,9.586,9.349,9.545999999999999,0.197,"2,016",-1,A,,,43
001A,9.586,9.656000000000001,9.545999999999999,9.616,0.07,"2,016",370,E,,,44
001A,9.656000000000001,10.010999999999999,9.616,9.948,0.332,"2,016",-1,A,,,45
001A,10.010999999999999,10.032,9.948,9.968,0.02,"2,016",-135,F,,,46
001A,10.032,10.053000000000001,9.968,9.988,0.02,"2,016",-1,A,,,47
002A,0,0.006,0,0.006,0.006,"2,016",-1,A,,,48
002A,0.006,0.025,0.006,0.026,0.02,"2,016",-111,F,,,49
002A,0.025,0.098,0.026,0.104,0.078,"2,016",-1,A,,,50
002A,0.098,0.173,0.104,0.179,0.075,"2,016",-392,E,,,51
002A,0.173,0.376,0.179,0.39,0.211,"2,016",-1,A,,,52
002A,0.376,0.431,0.39,0.469,0.079,"2,016",-415,D,,,53
002A,0.431,0.44,0.469,0.482,0.013,"2,016",-1,A,,,54
002A,0.44,0.532,0.482,0.561,0.079,"2,016",414,D,,,55
002A,0.532,1.878,0.561,1.89,1.329,"2,016",-1,A,,,56
002A,1.878,1.975,1.89,1.968,0.078,"2,016",414,D,,,57
002A,1.975,1.99,1.968,1.981,0.013,"2,016",-1,A,,,58
002A,1.99,2.171,1.981,2.15,0.169,"2,016",-895,C,,,59
002A,2.171,2.188,2.15,2.171,0.021,"2,016",-1,A,,,60
002A,2.188,2.266,2.171,2.264,0.093,"2,016",500,D,,,61
002A,2.266,2.954,2.264,2.964,0.7,"2,016",-1,A,,,62
002A,2.954,3.033,2.964,3.046,0.082,"2,016",-435,D,,,63
002A,3.033,3.049,3.046,3.062,0.016,"2,016",-1,A,,,64
002A,3.049,3.189,3.062,3.202,0.14,"2,016",740,C,,,65
002A,3.189,3.619,3.202,3.636,0.434,"2,016",-1,A,,,66
002A,3.619,3.704,3.636,3.718,0.082,"2,016",435,D,,,67
002A,3.704,6.143,3.718,6.181,2.463,"2,016",-1,A,,,68
002A,6.143,6.208,6.181,6.247,0.066,"2,016",-348,E,,,69
002A,6.208,6.224,6.247,6.263,0.016,"2,016",-1,A,,,70
002A,6.224,6.288,6.263,6.329,0.066,"2,016",347,E,,,71
002A,6.288,6.891,6.329,6.927,0.598,"2,016",-1,A,,,72
002A,6.891,6.959,6.927,6.993,0.066,"2,016",348,E,,,73
002A,6.959,6.974,6.993,7.008,0.015,"2,016",-1,A,,,74
002A,6.974,7.02,7.008,7.075,0.067,"2,016",-348,E,,,75
002A,7.02,9.487,7.075,9.614000000000001,2.539,"2,016",-1,A,,,76
002A,9.487,9.574999999999999,9.614000000000001,9.791,0.177,"2,016",936,C,,,77
002A,9.574999999999999,9.638,9.791,9.837,0.046,"2,016",-1,A,,,78
002A,9.638,9.827999999999999,9.837,9.919000000000001,0.082,"2,016",436,D,,,79
002A,9.827999999999999,9.842000000000001,9.919000000000001,9.925000000000001,0.006,"2,016",-1,A,,,80
002D,19.506,19.692,0,0.181,0.181,"2,016","-1,831",A,,,81
002D,19.692,19.879000000000001,0.181,0.379,0.198,"2,016",-1,A,,,82
002D,19.879000000000001,19.923999999999999,0.379,0.423,0.044,"2,016",-240,E,,,83
002D,19.923999999999999,19.943999999999999,0.423,0.442,0.019,"2,016",-1,A,,,84
003A,0,0.014,0,0.012,0.012,"2,016",-1,A,,,85
003A,0.014,0.094,0.012,0.078,0.066,"2,016",343,E,,,86
003A,0.094,0.32,0.078,0.31,0.232,"2,016",-1,A,,,87
003A,0.32,0.442,0.31,0.438,0.128,"2,016",667,D,,,88
003A,0.442,0.465,0.438,0.462,0.024,"2,016",-1,A,,,89
003A,0.465,0.705,0.462,0.711,0.249,"2,016","-1,340",B,,,90
003A,0.705,0.789,0.711,0.788,0.077,"2,016",-1,A,,,91
003A,0.789,1.015,0.788,0.997,0.209,"2,016","1,100",B,,,92
003A,1.015,1.224,0.997,1.204,0.207,"2,016",-1,A,,,93
003A,1.224,1.376,1.204,1.354,0.15,"2,016",-798,C,,,94
003A,1.376,1.43,1.354,1.408,0.054,"2,016",-1,A,,,95
003A,1.43,1.685,1.408,1.662,0.254,"2,016","1,337",B,,,96
003A,1.685,1.86,1.662,1.855,0.193,"2,016",-1,A,,,97
003A,1.86,2.114,1.855,2.135,0.28,"2,016","1,471",B,,,98
003A,2.114,2.175,2.135,2.204,0.069,"2,016",-1,A,,,99
003A,2.175,2.246,2.204,2.279,0.075,"2,016",-397,E,,,100
003A,2.246,2.281,2.279,2.316,0.037,"2,016",-1,A,,,101
003A,2.281,2.423,2.316,2.464,0.148,"2,016",779,C,,,102
003A,2.423,2.442,2.464,2.484,0.02,"2,016",-1,A,,,103
003A,2.442,2.444,2.484,2.486,0.002,"2,016",-22,F,,,104
005A,0,0.004,0,0.004,0.004,"2,016",-1,A,,,105
005A,0.004,0.023,0.004,0.022,0.018,"2,016",-113,F,,,106
005A,0.023,0.052,0.022,0.051,0.029,"2,016",-1,A,,,107
005A,0.052,0.206,0.051,0.203,0.152,"2,016",-818,C,,,108
005A,0.206,0.248,0.203,0.244,0.041,"2,016",-1,A,,,109
005A,0.248,0.29,0.244,0.286,0.042,"2,016",206,E,,,110
005A,0.29,0.427,0.286,0.421,0.135,"2,016",-1,A,,,111
005A,0.427,0.496,0.421,0.489,0.068,"2,016",362,E,,,112
005A,0.496,0.522,0.489,0.514,0.025,"2,016",-1,A,,,113
005A,0.522,0.686,0.514,0.676,0.162,"2,016",-861,C,,,114
005A,0.686,0.731,0.676,0.721,0.045,"2,016",-1,A,,,115
005A,0.731,0.86,0.721,0.848,0.127,"2,016",665,D,,,116
005A,0.86,0.872,0.848,0.86,0.012,"2,016",-1,A,,,117
005A,0.872,0.934,0.86,0.921,0.061,"2,016",-322,E,,,118
005A,0.934,0.942,0.921,0.929,0.008,"2,016",-1,A,,,119
005A,0.942,0.98,0.929,0.966,0.037,"2,016",193,F,,,120
005A,0.98,1.022,0.966,1.011,0.045,"2,016",-1,A,,,121
005A,1.022,1.059,1.011,1.053,0.042,"2,016",-222,E,,,122
005A,1.059,1.105,1.053,1.105,0.052,"2,016",-1,A,,,123
005A,1.105,1.149,1.105,1.154,0.049,"2,016",258,E,,,124
005A,1.149,1.166,1.154,1.173,0.019,"2,016",-1,A,,,125
005A,1.166,1.253,1.173,1.271,0.098,"2,016",-497,D,,,126
005A,1.253,1.313,1.271,1.339,0.068,"2,016",-1,A,,,127
005A,1.313,1.407,1.339,1.445,0.106,"2,016",557,D,,,128
005A,1.407,1.421,1.445,1.461,0.016,"2,016",-1,A,,,129
005A,1.421,1.486,1.461,1.534,0.073,"2,016",-389,E,,,130
005A,1.486,1.522,1.534,1.575,0.041,"2,016",-1,A,,,131
005A,1.522,1.59,1.575,1.651,0.076,"2,016",-408,E,,,132
005A,1.59,1.637,1.651,1.705,0.054,"2,016",-1,A,,,133
005A,1.637,1.691,1.705,1.765,0.06,"2,016",-322,E,,,134
005A,1.691,1.742,1.765,1.823,0.058,"2,016",-1,A,,,135
005A,1.742,1.813,1.823,1.903,0.08,"2,016",-427,D,,,136
005A,1.813,1.832,1.903,1.924,0.021,"2,016",-1,A,,,137
005A,1.832,1.911,1.924,2.014,0.09,"2,016",470,D,,,138
005A,1.911,1.929,2.014,2.034,0.02,"2,016",-1,A,,,139
005A,1.929,2.019,2.034,2.135,0.101,"2,016",-537,D,,,140
005A,2.019,2.081,2.135,2.205,0.07,"2,016",-1,A,,,141
005A,2.081,2.247,2.205,2.392,0.187,"2,016",975,C,,,142
005A,2.247,2.297,2.392,2.448,0.056,"2,016",-1,A,,,143
005A,2.297,2.399,2.448,2.562,0.114,"2,016",-603,D,,,144
005A,2.399,2.417,2.562,2.583,0.021,"2,016",-1,A,,,145
005A,2.417,2.564,2.583,2.748,0.165,"2,016",874,C,,,146
005A,2.564,2.585,2.748,2.772,0.024,"2,016",-1,A,,,147
005A,2.585,2.65,2.772,2.845,0.073,"2,016",-386,E,,,148
005A,2.65,2.679,2.845,2.877,0.032,"2,016",-1,A,,,149
005A,2.679,2.715,2.877,2.918,0.041,"2,016",209,E,,,150
005A,2.715,2.841,2.918,3.059,0.141,"2,016",-1,A,,,151
005A,2.841,2.98,3.059,3.215,0.156,"2,016",-821,C,,,152
005A,2.98,3.091,3.215,3.309,0.094,"2,016",-1,A,,,153
005A,3.091,3.196,3.309,3.391,0.082,"2,016",427,D,,,154
005A,3.196,3.217,3.391,3.407,0.016,"2,016",-1,A,,,155
005A,3.217,3.338,3.407,3.501,0.094,"2,016",-497,D,,,156
005A,3.338,3.365,3.501,3.522,0.021,"2,016",-1,A,,,157
005A,3.365,3.589,3.522,3.697,0.175,"2,016",920,C,,,158
005A,3.589,3.615,3.697,3.717,0.02,"2,016",-1,A,,,159
005A,3.615,3.732,3.717,3.808,0.091,"2,016",-474,D,,,160
005A,3.732,3.822,3.808,3.878,0.07,"2,016",-1,A,,,161
005A,3.822,3.915,3.878,3.951,0.073,"2,016",387,E,,,162
005A,3.915,3.968,3.951,3.992,0.041,"2,016",-1,A,,,163
005A,3.968,4.078,3.992,4.093,0.101,"2,016",536,D,,,164
005A,4.078,4.17,4.093,4.183,0.09,"2,016",-1,A,,,165
005A,4.17,4.232,4.183,4.244,0.061,"2,016",-324,E,,,166
005A,4.232,4.253,4.244,4.264,0.02,"2,016",-1,A,,,167
005A,4.253,4.353,4.264,4.362,0.098,"2,016",513,D,,,168
005A,4.353,4.399,4.362,4.407,0.045,"2,016",-1,A,,,169
005A,4.399,4.525,4.407,4.53,0.123,"2,016",-648,D,,,170
005A,4.525,4.542,4.53,4.547,0.017,"2,016",-1,A,,,171
005A,4.542,4.609,4.547,4.612,0.065,"2,016",341,E,,,172
005A,4.609,4.625,4.612,4.628,0.016,"2,016",-1,A,,,173
005A,4.625,4.708,4.628,4.709,0.081,"2,016",-429,D,,,174
005A,4.708,4.758,4.709,4.758,0.049,"2,016",-1,A,,,175
005A,4.758,4.932,4.758,4.928,0.17,"2,016",898,C,,,176
005A,4.932,5.097,4.928,5.087,0.159,"2,016",-1,A,,,177
005A,5.097,5.276,5.087,5.258,0.171,"2,016",-903,C,,,178
005A,5.276,5.31,5.258,5.291,0.033,"2,016",-1,A,,,179
005A,5.31,5.366,5.291,5.344,0.053,"2,016",281,E,,,180
005A,5.366,5.382,5.344,5.36,0.016,"2,016",-1,A,,,181
005A,5.382,5.463,5.36,5.437,0.077,"2,016",-409,E,,,182
005A,5.463,5.615,5.437,5.583,0.146,"2,016",-1,A,,,183
005A,5.615,5.763,5.583,5.724,0.141,"2,016",740,C,,,184
005A,5.763,5.86,5.724,5.817,0.093,"2,016",-1,A,,,185
005A,5.86,5.945,5.817,5.898,0.081,"2,016",430,D,,,186
005A,5.945,5.961,5.898,5.914,0.016,"2,016",-1,A,,,187
005A,5.961,6.064,5.914,6.012,0.098,"2,016",-516,D,,,188
005A,6.064,6.183,6.012,6.126,0.114,"2,016",-1,A,,,189
005A,6.183,6.436,6.126,6.368,0.242,"2,016","-1,271",B,,,190
005A,6.436,6.78,6.368,6.697,0.329,"2,016",-1,A,,,191
005A,6.78,6.88,6.697,6.793,0.096,"2,016",512,D,,,192
005A,6.88,6.914,6.793,6.826,0.033,"2,016",-1,A,,,193
005A,6.914,7.084,6.826,6.994,0.168,"2,016",-886,C,,,194
005A,7.084,7.172,6.994,7.084,0.09,"2,016",-1,A,,,195
005A,7.172,7.342,7.084,7.258,0.174,"2,016",921,C,,,196
005A,7.342,7.367,7.258,7.283,0.025,"2,016",-1,A,,,197
005A,7.367,7.43,7.283,7.348,0.065,"2,016",-344,E,,,198
005A,7.43,7.538,7.348,7.458,0.11,"2,016",-1,A,,,199
005A,7.538,7.653,7.458,7.576,0.118,"2,016",-622,D,,,200
005A,7.653,7.7,7.576,7.624,0.048,"2,016",-1,A,,,201
005A,7.7,7.804,7.624,7.731,0.107,"2,016",-559,D,,,202
005A,7.804,7.837,7.731,7.764,0.033,"2,016",-1,A,,,203
005A,7.837,7.983,7.764,7.914,0.15,"2,016",794,C,,,204
005A,7.983,8.016,7.914,7.947,0.033,"2,016",-1,A,,,205
005A,8.016,8.182,7.947,8.111000000000001,0.164,"2,016",-861,C,,,206
005A,8.182,8.257,8.111000000000001,8.185000000000001,0.074,"2,016",-1,A,,,207
005A,8.257,8.379,8.185000000000001,8.305,0.12,"2,016",640,D,,,208
005A,8.379,8.528000000000001,8.305,8.452999999999999,0.148,"2,016",-1,A,,,209
005A,8.528000000000001,8.632999999999999,8.452999999999999,8.555999999999999,0.103,"2,016",-543,D,,,210
005A,8.632999999999999,8.674,8.555999999999999,8.597,0.041,"2,016",-1,A,,,211
005A,8.674,8.753,8.597,8.675000000000001,0.078,"2,016",-412,E,,,212
005A,8.753,8.77,8.675000000000001,8.692,0.017,"2,016",-1,A,,,213
005A,8.77,8.890000000000001,8.692,8.810000000000001,0.118,"2,016",626,D,,,214
005A,8.890000000000001,9.074,8.810000000000001,9.029999999999999,0.22,"2,016",-1,A,,,215
005A,9.074,9.218,9.029999999999999,9.163,0.133,"2,016",-697,C,,,216
005A,9.218,9.310000000000001,9.163,9.247999999999999,0.085,"2,016",-1,A,,,217
005A,9.310000000000001,9.441000000000001,9.247999999999999,9.369999999999999,0.122,"2,016",643,D,,,218
005A,9.441000000000001,9.506,9.369999999999999,9.430999999999999,0.061,"2,016",-1,A,,,219
005A,9.506,9.672000000000001,9.430999999999999,9.585000000000001,0.154,"2,016",814,C,,,220
005A,9.672000000000001,9.789,9.585000000000001,9.694000000000001,0.109,"2,016",-1,A,,,221
005A,9.789,9.890000000000001,9.694000000000001,9.788,0.094,"2,016",-494,D,,,222
005A,9.890000000000001,9.908,9.788,9.804,0.016,"2,016",-1,A,,,223
005A,9.908,10.013,9.804,9.901999999999999,0.098,"2,016",517,D,,,224
005A,10.013,10.199999999999999,9.901999999999999,10.076000000000001,0.174,"2,016",-1,A,,,225
005A,10.199999999999999,10.327999999999999,10.076000000000001,10.195,0.119,"2,016",-624,D,,,226
005A,10.327999999999999,10.454000000000001,10.195,10.311999999999999,0.117,"2,016",-1,A,,,227
005A,10.454000000000001,10.488,10.311999999999999,10.343999999999999,0.032,"2,016",163,F,,,228
005A,10.488,10.574,10.343999999999999,10.423999999999999,0.08,"2,016",-1,A,,,229
005A,10.574,10.612,10.423999999999999,10.459,0.035,"2,016",-155,F,,,230
005A,10.612,10.752000000000001,10.459,10.589,0.13,"2,016",-1,A,,,231
005A,10.752000000000001,10.863,10.589,10.693,0.104,"2,016",553,D,,,232
005A,10.863,11.050000000000001,10.693,10.869,0.176,"2,016",-1,A,,,233
005A,11.050000000000001,11.271000000000001,10.869,11.084,0.215,"2,016","1,136",B,,,234
005A,11.271000000000001,11.287000000000001,11.084,11.1,0.016,"2,016",-1,A,,,235
005A,11.287000000000001,11.359,11.1,11.17,0.07,"2,016",-366,E,,,236
005A,11.359,11.458,11.17,11.266999999999999,0.097,"2,016",-1,A,,,237
005A,11.458,11.484,11.266999999999999,11.292,0.025,"2,016",120,F,,,238
005A,11.484,11.538,11.292,11.345000000000001,0.053,"2,016",-1,A,,,239
005A,11.538,11.597,11.345000000000001,11.401999999999999,0.057,"2,016",-301,E,,,240
005A,11.597,11.630000000000001,11.401999999999999,11.433999999999999,0.032,"2,016",-1,A,,,241
005A,11.630000000000001,11.739000000000001,11.433999999999999,11.541,0.107,"2,016",556,D,,,242
005A,11.739000000000001,11.755000000000001,11.541,11.555999999999999,0.015,"2,016",-1,A,,,243
005A,11.755000000000001,11.851000000000001,11.555999999999999,11.65,0.094,"2,016",-497,D,,,244
005A,11.851000000000001,11.884,11.65,11.682,0.032,"2,016",-1,A,,,245
005A,11.884,11.933999999999999,11.682,11.731,0.049,"2,016",257,E,,,246
005A,11.933999999999999,11.964,11.731,11.76,0.029,"2,016",-1,A,,,247
005A,11.964,12.031000000000001,11.76,11.826000000000001,0.066,"2,016",-351,E,,,248
005A,12.031000000000001,12.196,11.826000000000001,11.993,0.167,"2,016",-1,A,,,249
005A,12.196,12.231999999999999,11.993,12.029,0.036,"2,016",-178,F,,,250
005A,12.231999999999999,12.35,12.029,12.148,0.119,"2,016",-1,A,,,251
005A,12.35,12.502000000000001,12.148,12.302,0.154,"2,016",830,C,,,252
005A,12.502000000000001,12.545999999999999,12.302,12.346,0.044,"2,016",-1,A,,,253
005A,12.545999999999999,12.609999999999999,12.346,12.411,0.065,"2,016",-327,E,,,254
005A,12.609999999999999,12.635,12.411,12.436,0.025,"2,016",-1,A,,,255
005A,12.635,12.694000000000001,12.436,12.496,0.06,"2,016",320,E,,,256
005A,12.694000000000001,12.930999999999999,12.496,12.734999999999999,0.239,"2,016",-1,A,,,257
005A,12.930999999999999,12.958,12.734999999999999,12.763,0.028,"2,016",142,F,,,258
005A,12.958,13.125999999999999,12.763,12.917,0.154,"2,016",-1,A,,,259
005A,13.125999999999999,13.180999999999999,12.917,12.965999999999999,0.049,"2,016",-244,E,,,260
005A,13.180999999999999,13.211,12.965999999999999,12.993,0.027,"2,016",-1,A,,,261
005A,13.211,13.324999999999999,12.993,13.093999999999999,0.101,"2,016",535,D,,,262
005A,13.324999999999999,13.352,13.093999999999999,13.118,0.024,"2,016",-1,A,,,263
005A,13.352,13.448,13.118,13.204000000000001,0.086,"2,016",-456,D,,,264
005A,13.448,13.494,13.204000000000001,13.244999999999999,0.041,"2,016",-1,A,,,265
005A,13.494,13.529999999999999,13.244999999999999,13.276999999999999,0.032,"2,016",162,F,,,266
005A,13.529999999999999,13.574999999999999,13.276999999999999,13.317,0.04,"2,016",-1,A,,,267
005A,13.574999999999999,13.617000000000001,13.317,13.353999999999999,0.037,"2,016",-193,F,,,268
005A,13.617000000000001,13.630000000000001,13.353999999999999,13.366,0.012,"2,016",-1,A,,,269
005A,13.630000000000001,13.726000000000001,13.366,13.451000000000001,0.085,"2,016",449,D,,,270
005A,13.726000000000001,13.776,13.451000000000001,13.496,0.045,"2,016",-1,A,,,271
005A,13.776,13.817,13.496,13.532,0.036,"2,016",-179,F,,,272
005A,13.817,13.907999999999999,13.532,13.613,0.081,"2,016",-1,A,,,273
005A,13.907999999999999,14.039999999999999,13.613,13.727,0.114,"2,016",602,D,,,274
005A,14.039999999999999,14.146000000000001,13.727,13.811999999999999,0.085,"2,016",-1,A,,,275
005A,14.146000000000001,14.182,13.811999999999999,13.840999999999999,0.029,"2,016",140,F,,,276
005A,14.182,14.298,13.840999999999999,13.933999999999999,0.093,"2,016",-1,A,,,277
005A,14.298,14.356,13.933999999999999,13.98,0.046,"2,016",235,E,,,278
005A,14.356,14.412000000000001,13.98,14.025,0.045,"2,016",-1,A,,,279
005A,14.412000000000001,14.451000000000001,14.025,14.055999999999999,0.031,"2,016",-158,F,,,280
005A,14.451000000000001,14.496,14.055999999999999,14.092000000000001,0.036,"2,016",-1,A,,,281
005A,14.496,14.592000000000001,14.092000000000001,14.169,0.077,"2,016",409,E,,,282
005A,14.592000000000001,14.617000000000001,14.169,14.189,0.02,"2,016",-1,A,,,283
005A,14.617000000000001,14.694000000000001,14.189,14.250999999999999,0.062,"2,016",-323,E,,,284
005A,14.694000000000001,14.731999999999999,14.250999999999999,14.281000000000001,0.03,"2,016",-1,A,,,285
005A,14.731999999999999,14.769,14.281000000000001,14.311,0.03,"2,016",164,F,,,286
005A,14.769,14.877000000000001,14.311,14.397,0.086,"2,016",-1,A,,,287
005A,14.877000000000001,14.894,14.397,14.411,0.014,"2,016",-80,F,,,288
006A,11.08,11.081,0,0.001,0.001,"2,016",-1,A,,,289
006A,11.081,11.09,0.001,0.01,0.009,"2,016",-49,F,,,290
006A,11.09,11.202999999999999,0.01,0.146,0.136,"2,016",-1,A,,,291
006A,11.202999999999999,11.278,0.146,0.242,0.096,"2,016",-509,D,,,292
006A,11.278,11.765000000000001,0.242,0.74,0.498,"2,016",-1,A,,,293
006A,11.765000000000001,11.805,0.74,0.779,0.039,"2,016",194,F,,,294
006A,11.805,12.513999999999999,0.779,1.442,0.663,"2,016",-1,A,,,295
006A,12.513999999999999,12.558999999999999,1.442,1.488,0.046,"2,016",-249,E,,,296
006A,12.558999999999999,12.772,1.488,1.704,0.216,"2,016",-1,A,,,297
006A,12.772,12.859999999999999,1.704,1.794,0.09,"2,016",-477,D,,,298
006A,12.859999999999999,12.99,1.794,1.926,0.132,"2,016",-1,A,,,299
006A,12.99,13.109999999999999,1.926,2.028,0.102,"2,016",-539,D,,,300
006A,13.109999999999999,14.029999999999999,2.028,2.98,0.952,"2,016",-1,A,,,301
006A,14.029999999999999,14.157999999999999,2.98,3.108,0.128,"2,016",677,C,,,302
006A,14.157999999999999,15.311,3.108,4.21,1.102,"2,016",-1,A,,,303
006A,15.311,15.455,4.21,4.354,0.144,"2,016",-759,C,,,304
006A,15.455,19.803999999999998,4.354,8.691000000000001,4.337,"2,016",-1,A,,,305
006A,19.803999999999998,19.859000000000002,8.691000000000001,8.744,0.053,"2,016",279,E,,,306
006A,19.859000000000002,19.867999999999999,8.744,8.753,0.009,"2,016",-1,A,,,307
006A,19.867999999999999,19.925999999999998,8.753,8.808999999999999,0.056,"2,016",-290,E,,,308
006A,19.925999999999998,19.968,8.808999999999999,8.85,0.041,"2,016",-1,A,,,309
006A,19.968,20.018999999999998,8.85,8.903000000000001,0.053,"2,016",289,E,,,310
006A,20.018999999999998,20.044,8.903000000000001,8.933,0.03,"2,016",-1,A,,,311
006A,20.044,20.158000000000001,8.933,9.054,0.121,"2,016",-641,D,,,312
006A,20.158000000000001,20.175000000000001,9.054,9.071,0.017,"2,016",-1,A,,,313
006A,20.175000000000001,20.257999999999999,9.071,9.154,0.083,"2,016",437,D,,,314
006A,20.257999999999999,20.308,9.154,9.199999999999999,0.046,"2,016",-1,A,,,315
006A,20.308,20.504000000000001,9.199999999999999,9.393000000000001,0.193,"2,016","1,006",C,,,316
006A,20.504000000000001,20.552,9.393000000000001,9.457000000000001,0.064,"2,016",-1,A,,,317
006A,20.552,20.712,9.457000000000001,9.59,0.133,"2,016",-698,C,,,318
006A,20.712,21.48,9.59,10.275,0.685,"2,016",-1,A,,,319
006A,21.48,21.599,10.275,10.398,0.123,"2,016",-649,D,,,320
006A,21.599,21.614000000000001,10.398,10.413,0.015,"2,016",-1,A,,,321
006A,21.614000000000001,21.916,10.413,10.724,0.311,"2,016","1,642",B,,,322
006A,21.916,21.971,10.724,10.781000000000001,0.057,"2,016",-1,A,,,323
006A,21.971,22.088000000000001,10.781000000000001,10.898999999999999,0.118,"2,016",-619,D,,,324
006A,22.088000000000001,25.643000000000001,10.898999999999999,14.451000000000001,3.552,"2,016",-1,A,,,325
006A,25.643000000000001,25.768000000000001,14.451000000000001,14.561999999999999,0.111,"2,016",-550,D,,,326
006A,25.768000000000001,25.946000000000002,14.561999999999999,14.731999999999999,0.17,"2,016",-1,A,,,327
006A,25.946000000000002,25.975000000000001,14.731999999999999,14.77,0.038,"2,016",199,F,,,328
006A,25.975000000000001,25.981999999999999,14.77,14.776,0.006,"2,016",-1,A,,,329
006A,25.981999999999999,26.003,14.776,14.795999999999999,0.02,"2,016",-110,F,,,330
006A,26.003,26.010000000000002,14.795999999999999,14.804,0.008,"2,016",-1,A,,,331
006A,26.010000000000002,26.076000000000001,14.804,14.875,0.071,"2,016",365,E,,,332
006A,26.076000000000001,26.079999999999998,14.875,14.879,0.004,"2,016",-1,A,,,333
006B,30.123000000000001,30.123999999999999,0,0.001,0.001,"2,016",-1,A,,,334
006B,30.123999999999999,30.271000000000001,0.001,0.12,0.119,"2,016",-629,D,,,335
006B,30.271000000000001,32.090000000000003,0.12,1.882,1.762,"2,016",-1,A,,,336
006B,32.090000000000003,32.125999999999998,1.882,1.919,0.037,"2,016",200,F,,,337
006B,32.125999999999998,32.133000000000003,1.919,1.927,0.008,"2,016",-1,A,,,338
006B,32.133000000000003,32.177999999999997,1.927,1.974,0.047,"2,016",-249,E,,,339
006B,32.177999999999997,34.331000000000003,1.974,4.1,2.126,"2,016",-1,A,,,340
006B,34.331000000000003,34.405000000000001,4.1,4.138,0.038,"2,016",-200,E,,,341
006B,34.405000000000001,34.476999999999997,4.138,4.208,0.07,"2,016",-1,A,,,342
006B,34.476999999999997,34.512999999999998,4.208,4.244,0.036,"2,016",197,F,,,343
006B,34.512999999999998,34.521999999999998,4.244,4.254,0.01,"2,016",-1,A,,,344
006B,34.521999999999998,34.534999999999997,4.254,4.268,0.014,"2,016",-72,F,,,345
