ROUTE,REFPT,ENDREFPT,RUNLENGTH_FROM,RUNLENGTH_TO,SEG_LENGTH,CURVE_UPDATEYR,PRICURVE,PRICURVECLASS,SECCURVE,SECCURVECLASS,OBJECTID
025A,188.465,188.476,188.32499999999999,188.33500000000001,0.01,"2,016",-1,A,,,"6,550"
025A,188.476,188.708,188.33500000000001,188.57599999999999,0.241,"2,016","-1,277",B,,,"6,551"
025A,188.708,189.37700000000001,188.57599999999999,189.25200000000001,0.676,"2,016",-1,A,,,"6,552"
025A,189.37700000000001,189.41200000000001,189.25200000000001,189.28800000000001,0.036,"2,016",-194,F,,,"6,553"
025A,189.41200000000001,189.554,189.28800000000001,189.43299999999999,0.145,"2,016",-1,A,,,"6,554"
025A,189.554,189.59100000000001,189.43299999999999,189.471,0.038,"2,016",-201,E,,,"6,555"
025A,189.59100000000001,190.43299999999999,189.471,190.292,0.821,"2,016",-1,A,,,"6,556"
025A,190.43299999999999,190.79300000000001,190.292,190.66399999999999,0.372,"2,016","1,965",A,,,"6,557"
025A,190.79300000000001,190.898,190.66399999999999,190.77199999999999,0.108,"2,016",-1,A,,,"6,558"
025A,190.898,190.92400000000001,190.77199999999999,190.79900000000001,0.027,"2,016",-140,F,,,"6,559"
025A,190.92400000000001,191.61000000000001,190.79900000000001,191.46899999999999,0.67,"2,016",-1,A,,,"6,560"
025A,191.61000000000001,191.84800000000001,191.46899999999999,191.70400000000001,0.235,"2,016","-1,237",B,,,"6,561"
025A,191.84800000000001,192.36199999999999,191.70400000000001,192.215,0.511,"2,016",-1,A,,,"6,562"
025A,192.36199999999999,192.38999999999999,192.215,192.24299999999999,0.028,"2,016",-147,F,,,"6,563"
025A,192.38999999999999,192.422,192.24299999999999,192.27500000000001,0.032,"2,016",-1,A,,,"6,564"
025A,192.422,192.45099999999999,192.27500000000001,192.304,0.029,"2,016",154,F,,,"6,565"
025A,192.45099999999999,192.45599999999999,192.304,192.309,0.005,"2,016",-1,A,,,"6,566"
025A,192.45599999999999,192.49299999999999,192.309,192.34700000000001,0.038,"2,016",-200,F,,,"6,567"
025A,192.49299999999999,193.19300000000001,192.34700000000001,193.053,0.706,"2,016",-1,A,,,"6,568"
025A,193.19300000000001,193.24000000000001,193.053,193.09800000000001,0.045,"2,016",233,E,,,"6,569"
025A,193.24000000000001,193.251,193.09800000000001,193.108,0.01,"2,016",-1,A,,,"6,570"
025A,193.251,193.28299999999999,193.108,193.13900000000001,0.031,"2,016",167,F,,,"6,571"
025A,193.28299999999999,193.28999999999999,193.13900000000001,193.14599999999999,0.007,"2,016",-1,A,,,"6,572"
025A,193.28999999999999,193.357,193.14599999999999,193.21000000000001,0.064,"2,016",-340,E,,,"6,573"
025A,193.357,193.66,193.21000000000001,193.52000000000001,0.31,"2,016",-1,A,,,"6,574"
025A,193.66,193.714,193.52000000000001,193.57400000000001,0.054,"2,016",286,E,,,"6,575"
025A,193.714,193.80699999999999,193.57400000000001,193.65899999999999,0.085,"2,016",-1,A,,,"6,576"
025A,193.80699999999999,193.977,193.65899999999999,193.83000000000001,0.171,"2,016",-899,C,,,"6,577"
025A,193.977,193.988,193.83000000000001,193.84399999999999,0.014,"2,016",-1,A,,,"6,578"
025A,193.988,194.04400000000001,193.84399999999999,193.90199999999999,0.058,"2,016",-306,E,,,"6,579"
025A,194.04400000000001,194.13,193.90199999999999,193.988,0.086,"2,016",-1,A,,,"6,580"
025A,194.13,194.15899999999999,193.988,194.017,0.029,"2,016",153,F,,,"6,581"
025A,194.15899999999999,194.22,194.017,194.078,0.061,"2,016",-1,A,,,"6,582"
025A,194.22,194.25700000000001,194.078,194.11500000000001,0.037,"2,016",-193,F,,,"6,583"
025A,194.25700000000001,194.309,194.11500000000001,194.16300000000001,0.048,"2,016",-1,A,,,"6,584"
025A,194.309,194.334,194.16300000000001,194.18700000000001,0.024,"2,016",-127,F,,,"6,585"
025A,194.334,194.34,194.18700000000001,194.19300000000001,0.006,"2,016",-1,A,,,"6,586"
025A,194.34,194.37700000000001,194.19300000000001,194.23099999999999,0.038,"2,016",201,E,,,"6,587"
025A,194.37700000000001,194.672,194.23099999999999,194.529,0.298,"2,016",-1,A,,,"6,588"
025A,194.672,194.70099999999999,194.529,194.559,0.03,"2,016",-160,F,,,"6,589"
025A,194.70099999999999,195.053,194.559,194.90600000000001,0.347,"2,016",-1,A,,,"6,590"
025A,195.053,195.089,194.90600000000001,194.94200000000001,0.036,"2,016",186,F,,,"6,591"
025A,195.089,195.34100000000001,194.94200000000001,195.19900000000001,0.257,"2,016",-1,A,,,"6,592"
025A,195.34100000000001,195.477,195.19900000000001,195.32499999999999,0.126,"2,016",-666,D,,,"6,593"
025A,195.477,195.90100000000001,195.32499999999999,195.71000000000001,0.385,"2,016",-1,A,,,"6,594"
025A,195.90100000000001,196.04499999999999,195.71000000000001,195.845,0.135,"2,016",-713,C,,,"6,595"
025A,196.04499999999999,196.20400000000001,195.845,195.988,0.143,"2,016",-1,A,,,"6,596"
025A,196.20400000000001,196.245,195.988,196.018,0.03,"2,016",160,F,,,"6,597"
025A,196.245,197.48400000000001,196.018,197.31700000000001,1.299,"2,016",-1,A,,,"6,598"
025A,197.48400000000001,197.51400000000001,197.31700000000001,197.345,0.028,"2,016",-147,F,,,"6,599"
025A,197.51400000000001,197.566,197.345,197.39500000000001,0.05,"2,016",-1,A,,,"6,600"
025A,197.566,197.642,197.39500000000001,197.47,0.075,"2,016",392,E,,,"6,601"
025A,197.642,199.35900000000001,197.47,199.16999999999999,1.7,"2,016",-1,A,,,"6,602"
025A,199.35900000000001,199.38800000000001,199.16999999999999,199.19900000000001,0.029,"2,016",-153,F,,,"6,603"
025A,199.38800000000001,199.834,199.19900000000001,199.63300000000001,0.434,"2,016",-1,A,,,"6,604"
025A,199.834,199.97800000000001,199.63300000000001,199.809,0.176,"2,016",938,C,,,"6,605"
025A,199.97800000000001,200.07900000000001,199.809,199.92500000000001,0.116,"2,016",-1,A,,,"6,606"
025A,200.07900000000001,200.21700000000001,199.92500000000001,200.102,0.177,"2,016",-933,C,,,"6,607"
025A,200.21700000000001,200.32400000000001,200.102,200.22800000000001,0.126,"2,016",-1,A,,,"6,608"
025A,200.32400000000001,200.54599999999999,200.22800000000001,200.386,0.158,"2,016",839,C,,,"6,609"
025A,200.54599999999999,200.82499999999999,200.386,200.65199999999999,0.266,"2,016",-1,A,,,"6,610"
025A,200.82499999999999,200.85900000000001,200.65199999999999,200.68700000000001,0.035,"2,016",-186,F,,,"6,611"
025A,200.85900000000001,201.27799999999999,200.68700000000001,201.154,0.467,"2,016",-1,A,,,"6,612"
025A,201.27799999999999,201.33799999999999,201.154,201.22300000000001,0.069,"2,016",-373,E,,,"6,613"
025A,201.33799999999999,201.405,201.22300000000001,201.27600000000001,0.053,"2,016",-1,A,,,"6,614"
025A,201.405,201.547,201.27600000000001,201.386,0.11,"2,016",580,D,,,"6,615"
025A,201.547,201.548,201.386,201.387,0.001,"2,016",-1,A,,,"6,616"
025A,201.548,201.62200000000001,201.387,201.45099999999999,0.064,"2,016",340,E,,,"6,617"
025A,201.62200000000001,201.68100000000001,201.45099999999999,201.511,0.06,"2,016",-1,A,,,"6,618"
025A,201.68100000000001,201.714,201.511,201.54499999999999,0.034,"2,016",181,F,,,"6,619"
025A,201.714,202.31,201.54499999999999,202.13,0.585,"2,016",-1,A,,,"6,620"
025A,202.31,202.5,202.13,202.327,0.197,"2,016","-1,034",C,,,"6,621"
025A,202.5,202.52000000000001,202.327,202.345,0.018,"2,016",-1,A,,,"6,622"
025A,202.52000000000001,202.55199999999999,202.345,202.374,0.029,"2,016",-153,F,,,"6,623"
025A,202.55199999999999,203.18899999999999,202.374,203.03700000000001,0.663,"2,016",-1,A,,,"6,624"
025A,203.18899999999999,203.31800000000001,203.03700000000001,203.15299999999999,0.116,"2,016",-613,D,,,"6,625"
025A,203.31800000000001,203.69200000000001,203.15299999999999,203.49199999999999,0.339,"2,016",-1,A,,,"6,626"
025A,203.69200000000001,204.03999999999999,203.49199999999999,203.863,0.371,"2,016","-1,940",A,,,"6,627"
025A,204.03999999999999,204.09200000000001,203.863,203.90299999999999,0.04,"2,016",-1,A,,,"6,628"
025A,204.09200000000001,204.13,203.90299999999999,203.93899999999999,0.036,"2,016",186,F,,,"6,629"
025A,204.13,204.136,203.93899999999999,203.94399999999999,0.005,"2,016",-1,A,,,"6,630"
025A,204.136,204.17099999999999,203.94399999999999,203.977,0.033,"2,016",-173,F,,,"6,631"
025A,204.17099999999999,204.28399999999999,203.977,204.083,0.106,"2,016",-1,A,,,"6,632"
025A,204.28399999999999,204.60300000000001,204.083,204.43199999999999,0.349,"2,016","-1,845",A,,,"6,633"
025A,204.60300000000001,204.93299999999999,204.43199999999999,204.77799999999999,0.346,"2,016",-1,A,,,"6,634"
025A,204.93299999999999,204.97200000000001,204.77799999999999,204.81100000000001,0.033,"2,016",172,F,,,"6,635"
025A,204.97200000000001,205.095,204.81100000000001,204.928,0.117,"2,016",-1,A,,,"6,636"
025A,205.095,205.398,204.928,205.215,0.287,"2,016","1,530",B,,,"6,637"
025A,205.398,205.96700000000001,205.215,205.78299999999999,0.568,"2,016",-1,A,,,"6,638"
025A,205.96700000000001,206.06800000000001,205.78299999999999,205.95099999999999,0.168,"2,016",885,C,,,"6,639"
025A,206.06800000000001,206.40799999999999,205.95099999999999,206.238,0.287,"2,016",-1,A,,,"6,640"
025A,206.40799999999999,206.46100000000001,206.238,206.291,0.053,"2,016",-279,E,,,"6,641"
025A,206.46100000000001,206.54400000000001,206.291,206.374,0.083,"2,016",-1,A,,,"6,642"
025A,206.54400000000001,206.60300000000001,206.374,206.43299999999999,0.059,"2,016",313,E,,,"6,643"
025A,206.60300000000001,206.72999999999999,206.43299999999999,206.56,0.127,"2,016",-1,A,,,"6,644"
025A,206.72999999999999,206.791,206.56,206.62200000000001,0.062,"2,016",-333,E,,,"6,645"
025A,206.791,206.90600000000001,206.62200000000001,206.73699999999999,0.115,"2,016",-1,A,,,"6,646"
025A,206.90600000000001,206.93799999999999,206.73699999999999,206.76900000000001,0.032,"2,016",-173,F,,,"6,647"
