county,year,totalPopulation
Summit,2013,28864
Larimer,2018,350656
Bent,2012,5865
Morgan,2001,27473
Lincoln,2005,5789
Saguache,2009,6128
Lincoln,2012,5501
Washington,2006,4981
Clear Creek,2004,9459
Pitkin,2008,16674
Lincoln,2013,5517
Archuleta,2002,10695
Rio Blanco,2003,5854
Rio Blanco,2000,5967
Bent,2013,5799
Grand,2007,14341
Jackson,2002,1590
Montezuma,2021,26226
Logan,2007,22402
Rio Grande,2005,12695
Teller,2022,24992
Chaffee,2020,19551
Jefferson,2014,559017
Denver,2005,559459
Delta,2012,30554
Ouray,2016,4718
Gilpin,2014,5537
Saguache,2013,6164
Conejos,2017,7754
Costilla,2016,3516
Crowley,2003,5161
Yuma,2021,9945
Bent,2008,6010
Dolores,2009,2051
Hinsdale,2014,822
Hinsdale,2007,847
Jackson,2009,1386
Adams,2004,385940
Chaffee,2008,17399
Yuma,2014,10181
Gunnison,2017,16467
Conejos,2006,8471
Las Animas,2013,15168
Custer,2002,3781
Logan,2004,22178
Garfield,2011,56270
Otero,2013,18798
Phillips,2014,4493
Moffat,2014,13012
Huerfano,2022,6910
Elbert,2010,23107
Jefferson,2007,527121
Dolores,2021,2130
San Juan,2020,708
Costilla,2009,3504
Saguache,2002,6244
Summit,2001,26290
Delta,2019,31235
Logan,2008,22320
Grand,2002,13458
Las Animas,2021,14637
Garfield,2015,57493
Hinsdale,2008,825
Conejos,2022,7442
Las Animas,2020,14564
Moffat,2018,13292
Eagle,2003,45757
Custer,2017,4542
Conejos,2010,8282
Gilpin,2013,5511
Ouray,2022,5187
Phillips,2008,4449
Mineral,2012,721
Gilpin,2005,4893
Moffat,2013,13192
Crowley,2015,5840
Summit,2017,31136
Denver,2001,563301
Montrose,2004,36129
Yuma,2017,9970
Rio Grande,2003,12622
Lincoln,2020,5657
El Paso,2002,545239
Denver,2021,711975
Bent,2019,5979
Huerfano,2012,6689
Morgan,2022,29126
Arapahoe,2018,650164
Montezuma,2007,25184
Lake,2016,7239
Summit,2000,25708
Dolores,2013,2082
Rio Blanco,2016,6620
Alamosa,2017,16053
Logan,2000,20656
Grand,2020,15748
Logan,2011,22208
Washington,2018,4814
Douglas,2002,209706
Broomfield,2018,71320
Chaffee,2013,18035
Grand,2003,13681
Denver,2010,604879
Fremont,2007,46662
Summit,2005,26621
Montrose,2013,41331
El Paso,2001,536336
Gunnison,2020,16939
