county,year,totalPopulation
Phillips,2020,4521
Montezuma,2000,23852
Archuleta,2017,12759
El Paso,2010,627232
Teller,2005,22507
Park,2014,15778
Clear Creek,2020,9390
Arapahoe,2011,585819
Weld,2020,331288
Rio Blanco,2009,6316
Jefferson,2002,527541
Phillips,2007,4484
Otero,2018,18757
Mineral,2017,783
Fremont,2018,47988
Pueblo,2007,154759
Logan,2005,22082
Archuleta,2013,11994
Dolores,2022,2110
Ouray,2000,3776
Lake,2020,7410
Mineral,2019,833
Broomfield,2010,56107
Dolores,2006,1990
Moffat,2019,13361
Rio Grande,2004,12830
Clear Creek,2005,9391
Kiowa,2002,1566
Ouray,2003,3908
Saguache,2008,6181
Eagle,2008,50301
Grand,2013,14948
Adams,2013,469877
Morgan,2017,28424
Saguache,2014,6174
Alamosa,2004,15412
Mesa,2000,117649
Fremont,2014,47116
Clear Creek,2012,9018
La Plata,2018,55733
La Plata,2014,53560
Chaffee,2006,16983
Gunnison,2001,14340
Montezuma,2001,23873
Park,2010,16262
San Miguel,2009,7271
Boulder,2004,283288
Moffat,2009,13540
Clear Creek,2022,9452
Gunnison,2011,15348
Eagle,2021,55702
Delta,2022,31735
Jackson,2001,1590
Teller,2003,22220
Mineral,2020,871
Morgan,2012,28249
Phillips,2002,4497
Cheyenne,2012,1825
Sedgwick,2008,2422
Otero,2008,18854
Dolores,2016,2090
Eagle,2006,48215
Kit Carson,2004,8259
Douglas,2007,268597
Montezuma,2015,25519
Denver,2013,645304
Douglas,2016,328330
Lake,2014,7089
Eagle,2009,51522
Alamosa,2005,15391
Custer,2022,5082
Montrose,2010,41188
Moffat,2004,13061
Mesa,2003,124150
Lake,2015,7157
Grand,2001,13282
Saguache,2007,6153
Pueblo,2003,147967
Gunnison,2019,16940
Huerfano,2015,6710
Garfield,2016,58164
Logan,2010,22293
Phillips,2013,4485
Grand,2014,14932
Baca,2009,3816
Delta,2020,31250
Gunnison,2008,15138
San Miguel,2015,7823
La Plata,2010,51441
Sedgwick,2020,2393
Rio Blanco,2010,6617
Park,2021,17720
Gunnison,2013,15421
Moffat,2020,13252
Eagle,2015,52781
Bent,2007,5770
Mesa,2013,147928
Alamosa,2000,15097
Ouray,2012,4471
Arapahoe,2012,596229
Kit Carson,2000,7975
Denver,2012,632921
Washington,2005,4997
Weld,2012,263849
Otero,2009,18847
Conejos,2020,7450
Montezuma,2016,25543
Phillips,2018,4517
Adams,2020,520190
Ouray,2001,3812
Moffat,2011,13453
Teller,2018,24522
Crowley,2004,5435
Alamosa,2016,15934
Broomfield,2004,46403
Rio Grande,2011,11954
Mesa,2017,152151
El Paso,2015,677967
Conejos,2011,8197
Fremont,2009,46637
Morgan,2004,27915
San Juan,2013,706
Delta,2017,30706
Sedgwick,2003,2715
Park,2017,16863
Morgan,2020,29068
Jackson,2020,1373
Park,2018,17369
Prowers,2000,14452
Park,2006,16129
Prowers,2012,12394
Huerfano,2007,7659
Garfield,2001,45909
Broomfield,2021,75361
Weld,2017,304593
Chaffee,2010,17797
Adams,2016,497828
San Juan,2014,702
Fremont,2022,49733
Larimer,2021,362773
Bent,2009,6484
Arapahoe,2007,545876
Pitkin,2015,17702
Fremont,2013,47181
Otero,2006,19188
Larimer,2014,324124
Broomfield,2014,62504
Larimer,2015,333444
Boulder,2020,330813
Chaffee,2017,18970
Bent,2005,6262
Prowers,2009,12577
Baca,2014,3566
La Plata,2003,46449
Alamosa,2007,15294
Archuleta,2019,13189
Moffat,2017,13225
Larimer,2003,268147
Delta,2006,29705
Summit,2002,26514
Delta,2007,29872
Broomfield,2003,44957
Hinsdale,2006,829
Dolores,2003,1876
Kit Carson,2010,8267
Kit Carson,2016,7480
Montezuma,2012,25496
Washington,2012,4562
Garfield,2021,62151
Lincoln,2021,5669
Pueblo,2022,169348
Teller,2001,21737
Pitkin,2020,17349
Rio Grande,2015,11778
Conejos,2001,8364
Bent,2015,5965
Gilpin,2012,5500
Mineral,2021,930
Sedgwick,2012,2374
San Miguel,2020,8052
Douglas,2019,351210
Park,2013,15727
Logan,2020,21520
Kiowa,2001,1607
Otero,2017,18762
Morgan,2014,28165
Archuleta,2014,11932
Kit Carson,2020,7061
Custer,2001,3728
Kit Carson,2017,7402
Dolores,2012,2077
Saguache,2004,6242
Fremont,2012,47130
Mineral,2009,712
Custer,2004,3984
Elbert,2014,23568
Weld,2003,207156
Fremont,2010,46854
Cheyenne,2001,2170
Prowers,2007,12777
Weld,2000,183074
San Juan,2015,701
Routt,2014,23661
Elbert,2022,27653
Ouray,2018,4735
Saguache,2015,6180
Ouray,2007,4275
Fremont,2001,46738
Kiowa,2017,1424
Larimer,2000,253087
La Plata,2004,46927
Mineral,2008,769
Phillips,2022,4464
Elbert,2006,22526
Denver,2018,702676
San Miguel,2012,7573
Lake,2005,7287
Jefferson,2015,565161
Montezuma,2008,25197
Logan,2002,22098
Elbert,2021,27120
Montezuma,2004,24602
Las Animas,2003,16089
Kiowa,2014,1397
Mesa,2009,144794
Baca,2013,3635
Clear Creek,2007,9334
Grand,2015,14958
